Total Cohort #,Total Grads #,Dropped Out #,Still Enrolled #,Local #,Total Regents #,Regents w/o Advanced #,Advanced Regents #
13853,8615.0,2605.0,2057.0,1842.0,6773.0,6726.0,47.0
23910,17815.0,3256.0,2059.0,4930.0,12885.0,10538.0,2347.0
21518,17169.0,2077.0,1919.0,619.0,16550.0,16550.0,0.0
16838,3498.0,6253.0,6466.0,345.0,3153.0,3153.0,0.0
19496,11400.0,3938.0,2909.0,2926.0,8474.0,6538.0,1936.0
51499,24013.0,15429.0,11703.0,3009.0,21016.0,8855.0,12161.0
21716,21233.0,204.0,239.0,81.0,21152.0,5337.0,15815.0
30093,15722.0,5291.0,8717.0,3937.0,11785.0,11775.0,10.0
28657,27922.0,316.0,399.0,44.0,27878.0,27878.0,0.0
6808,4839.0,445.0,986.0,1243.0,3596.0,3258.0,338.0
892,636.0,50.0,206.0,15.0,621.0,621.0,0.0
832,686.0,68.0,78.0,128.0,558.0,526.0,32.0
17686,15062.0,1317.0,1038.0,2051.0,13011.0,12927.0,84.0
17234,13538.0,1983.0,1452.0,1968.0,11570.0,11570.0,0.0
18097,14299.0,1876.0,1759.0,1889.0,12410.0,12246.0,164.0
18425,16677.0,656.0,932.0,499.0,16178.0,12725.0,3453.0
18218,12862.0,2126.0,2897.0,719.0,12143.0,11952.0,191.0
18512,12106.0,4023.0,1857.0,97.0,12009.0,11199.0,810.0
12481,10158.0,1371.0,765.0,1177.0,8981.0,8899.0,82.0
13236,10136.0,1403.0,1272.0,1946.0,8190.0,8045.0,145.0
23351,11972.0,4512.0,6106.0,1582.0,10390.0,10390.0,0.0
13838,10754.0,1466.0,1492.0,1867.0,8887.0,7894.0,993.0
19580,15661.0,1498.0,1967.0,2260.0,13401.0,12842.0,559.0
11674,11389.0,124.0,161.0,84.0,11305.0,11305.0,0.0
9499,8270.0,611.0,501.0,722.0,7548.0,7220.0,328.0
8784,6601.0,904.0,1073.0,1005.0,5596.0,5508.0,88.0
11433,6384.0,2332.0,2468.0,22.0,6362.0,2539.0,3823.0
8871,6752.0,826.0,1193.0,442.0,6310.0,5484.0,826.0
87117,72696.0,6264.0,6455.0,9884.0,62812.0,42910.0,19902.0
13767,12217.0,440.0,1068.0,3704.0,8513.0,8513.0,0.0
20462,19302.0,284.0,876.0,1802.0,17500.0,14603.0,2897.0
22841,22717.0,41.0,62.0,460.0,22257.0,10301.0,11956.0
30702,29861.0,138.0,661.0,1162.0,28699.0,13404.0,15295.0
21086,19133.0,558.0,1338.0,27.0,19106.0,19106.0,0.0
23035,22445.0,183.0,367.0,1142.0,21303.0,11568.0,9735.0
23895,23792.0,64.0,23.0,108.0,23684.0,5396.0,18288.0
32832,32444.0,116.0,272.0,1282.0,31162.0,16035.0,15127.0
23290,14318.0,5138.0,2947.0,4367.0,9951.0,9951.0,0.0
94811,83703.0,3742.0,6086.0,9061.0,74642.0,52645.0,21997.0
2510,1996.0,118.0,336.0,158.0,1838.0,1562.0,276.0
37835,25989.0,5704.0,4481.0,7425.0,18564.0,16719.0,1845.0
6113,3408.0,1687.0,922.0,141.0,3267.0,3172.0,95.0
14259,6398.0,4155.0,2862.0,3146.0,3292.0,3222.0,70.0
7823,5336.0,1316.0,1071.0,876.0,4460.0,4171.0,289.0
9804,7955.0,558.0,1198.0,1732.0,6223.0,6223.0,0.0
6369,3715.0,1233.0,1390.0,228.0,3487.0,3487.0,0.0
21412,20723.0,116.0,297.0,1145.0,19578.0,6525.0,13053.0
54727,28828.0,14343.0,8937.0,16861.0,11967.0,9587.0,2380.0
7917,3895.0,2746.0,679.0,2673.0,1262.0,1262.0,0.0
22994,16794.0,2841.0,2538.0,1591.0,15203.0,15203.0,0.0
15519,11442.0,1368.0,2433.0,2074.0,9368.0,9368.0,0.0
87026,42901.0,27797.0,11706.0,15669.0,27232.0,25396.0,1836.0
167327,165062.0,498.0,1691.0,0.0,165062.0,2674.0,162388.0
43619,35921.0,4340.0,2703.0,4527.0,31394.0,24735.0,6659.0
13280,9376.0,2468.0,1238.0,2127.0,7249.0,7038.0,211.0
6737,6040.0,210.0,411.0,354.0,5686.0,4867.0,819.0
21791,20718.0,347.0,572.0,1175.0,19543.0,13158.0,6385.0
126671,80183.0,22568.0,19257.0,14164.0,66019.0,55568.0,10451.0
42847,29684.0,5790.0,6248.0,4996.0,24688.0,20562.0,4126.0
9862,9163.0,401.0,289.0,1227.0,7936.0,7279.0,657.0
3182,2869.0,56.0,225.0,350.0,2519.0,2211.0,308.0
3848,3476.0,76.0,284.0,64.0,3412.0,3412.0,0.0
10665,4786.0,4168.0,870.0,3201.0,1640.0,1613.0,27.0
24367,20212.0,2073.0,1898.0,2215.0,17997.0,11650.0,6347.0
19455,15439.0,1899.0,1587.0,3206.0,12233.0,12233.0,0.0
51066,15806.0,14607.0,18715.0,8245.0,7561.0,7448.0,113.0
16882,16164.0,210.0,447.0,310.0,15854.0,2355.0,13499.0
3370,3120.0,88.0,154.0,178.0,2942.0,2942.0,0.0
23478,11791.0,7823.0,3493.0,2844.0,8947.0,7240.0,1707.0
20034,15890.0,2055.0,1960.0,2993.0,12897.0,10615.0,2282.0
76098,37407.0,7427.0,30183.0,7461.0,29951.0,29951.0,0.0
7353,3924.0,441.0,2649.0,550.0,3374.0,3374.0,0.0
52037,18914.0,11902.0,19659.0,8673.0,10261.0,10261.0,0.0
91267,36383.0,25926.0,28330.0,6538.0,29860.0,24074.0,5786.0
35693,23507.0,5989.0,3263.0,5215.0,18297.0,15923.0,2374.0
7545,2672.0,2547.0,2164.0,971.0,1701.0,1701.0,0.0
101914,90969.0,4570.0,4507.0,10405.0,80579.0,63808.0,16771.0
12040,9375.0,1045.0,1430.0,813.0,8570.0,8245.0,325.0
35994,22720.0,7510.0,2911.0,5820.0,16920.0,13552.0,3368.0
88184,44581.0,24466.0,14298.0,17186.0,27405.0,24634.0,2771.0
84530,44163.0,24052.0,12023.0,10916.0,33262.0,32727.0,535.0
76583,62480.0,4885.0,7424.0,8924.0,53556.0,45246.0,8310.0
32458,25257.0,3412.0,3103.0,5505.0,19752.0,17133.0,2619.0
4086,1955.0,1094.0,724.0,1249.0,706.0,706.0,0.0
11239,6482.0,2284.0,2103.0,2258.0,4224.0,4167.0,57.0
19082,13561.0,2877.0,2128.0,2220.0,11341.0,11217.0,124.0
18812,13507.0,3390.0,1553.0,3292.0,10215.0,10065.0,150.0
8881,5492.0,1769.0,1433.0,1632.0,3860.0,3860.0,0.0
11295,8476.0,1575.0,1198.0,1065.0,7411.0,6560.0,851.0
14938,4858.0,3074.0,6643.0,804.0,4054.0,4037.0,17.0
27806,18508.0,3321.0,3903.0,3734.0,14774.0,13378.0,1396.0
6903,6571.0,70.0,250.0,381.0,6190.0,5645.0,545.0
73373,32463.0,23681.0,13818.0,13119.0,19364.0,15651.0,3713.0
68547,66792.0,601.0,905.0,3991.0,62801.0,62801.0,0.0
143945,141169.0,706.0,1861.0,1278.0,139891.0,46473.0,93418.0
3390,2385.0,825.0,15.0,2385.0,0.0,0.0,0.0
26265,19606.0,3853.0,2440.0,3213.0,16393.0,14252.0,2141.0
35464,24571.0,5265.0,4364.0,5286.0,19285.0,18397.0,888.0
70358,24608.0,16290.0,28118.0,10928.0,13680.0,13570.0,110.0
19221,18535.0,230.0,401.0,302.0,18233.0,13124.0,5109.0
408,400.0,8.0,0.0,8.0,392.0,384.0,8.0
12753,9054.0,1501.0,1789.0,1963.0,7091.0,6431.0,660.0
2560,1899.0,150.0,381.0,298.0,1601.0,1529.0,72.0
21856,12402.0,5573.0,2488.0,5368.0,7044.0,7019.0,25.0
103436,93557.0,3144.0,4240.0,3448.0,90114.0,35971.0,54143.0
20704,17027.0,1684.0,1414.0,3692.0,13335.0,12106.0,1229.0
19644,16598.0,1517.0,1125.0,2891.0,13707.0,11440.0,2267.0
14019,13928.0,14.0,71.0,1447.0,12481.0,9457.0,3024.0
11101,6316.0,2384.0,1991.0,2625.0,3691.0,3591.0,100.0
17291,11133.0,2678.0,2978.0,2640.0,8493.0,7813.0,680.0
4805,2589.0,1243.0,649.0,1256.0,1333.0,1221.0,112.0
722,515.0,66.0,129.0,140.0,375.0,375.0,0.0
23046,7001.0,6253.0,9375.0,2065.0,4936.0,4936.0,0.0
19525,14766.0,1614.0,2250.0,2034.0,12732.0,12087.0,645.0
5651,5602.0,0.0,49.0,30.0,5572.0,2651.0,2921.0
8380,4913.0,827.0,2467.0,1206.0,3707.0,3493.0,214.0
10596,8226.0,1466.0,777.0,992.0,7234.0,7229.0,5.0
8256,5599.0,1026.0,1417.0,2543.0,3056.0,3013.0,43.0
54394,45189.0,3164.0,4991.0,1503.0,43686.0,30115.0,13571.0
18485,15597.0,1112.0,1439.0,3511.0,12086.0,11882.0,204.0
23166,11342.0,5929.0,3929.0,3232.0,8110.0,8030.0,80.0
20199,18684.0,140.0,145.0,0.0,18684.0,2013.0,16671.0
9482,9193.0,20.0,249.0,129.0,9064.0,7189.0,1875.0
10129,7376.0,622.0,2003.0,1153.0,6223.0,6064.0,159.0
10469,8305.0,506.0,1590.0,546.0,7759.0,6493.0,1266.0
7074,3296.0,1602.0,2081.0,576.0,2720.0,2720.0,0.0
38487,26601.0,4869.0,4176.0,6399.0,20222.0,19063.0,1159.0
33939,22300.0,5539.0,4935.0,5216.0,17074.0,15818.0,1256.0
39317,28920.0,5121.0,3536.0,5268.0,23652.0,22052.0,1600.0
39890,26053.0,7372.0,4606.0,7269.0,18784.0,16945.0,1839.0
79556,61908.0,7376.0,7422.0,5392.0,56516.0,44581.0,11935.0
24170,17636.0,3264.0,3012.0,3891.0,13745.0,11378.0,2367.0
14595,13133.0,592.0,792.0,2016.0,11117.0,9821.0,1296.0
1014,877.0,12.0,125.0,20.0,857.0,857.0,0.0
1300,862.0,120.0,318.0,36.0,826.0,826.0,0.0
12153,6514.0,2885.0,2678.0,556.0,5958.0,5861.0,97.0
18362,5223.0,5412.0,7503.0,1851.0,3372.0,3347.0,25.0
12727,3056.0,3312.0,6190.0,1194.0,1862.0,1862.0,0.0
17351,11756.0,3334.0,1888.0,2774.0,8982.0,8982.0,0.0
822,132.0,408.0,0.0,132.0,0.0,0.0,0.0
19919,12964.0,2553.0,3415.0,3910.0,9054.0,8975.0,79.0
26536,23823.0,1713.0,748.0,6073.0,17750.0,17750.0,0.0
18223,15820.0,851.0,1453.0,2116.0,13708.0,9099.0,4609.0
19487,12239.0,3093.0,2478.0,2888.0,9351.0,8619.0,732.0
7747,4479.0,1558.0,1583.0,955.0,3524.0,3512.0,12.0
25564,17816.0,4151.0,2651.0,3174.0,14642.0,13191.0,1451.0
20082,11844.0,3809.0,2584.0,4058.0,7786.0,7680.0,106.0
25024,19761.0,2136.0,2622.0,4237.0,15524.0,14591.0,933.0
15989,12699.0,1386.0,1603.0,1491.0,11208.0,10395.0,813.0
10598,2780.0,2395.0,5197.0,804.0,1976.0,1976.0,0.0
49570,26839.0,13082.0,7754.0,9508.0,17341.0,14327.0,3014.0
54744,26265.0,13983.0,7696.0,8377.0,17903.0,16592.0,1311.0
34223,23376.0,6569.0,3351.0,3962.0,19414.0,17641.0,1773.0
7360,5233.0,998.0,992.0,470.0,4763.0,4763.0,0.0
12021,8533.0,1670.0,1663.0,808.0,7725.0,7072.0,653.0
23215,17087.0,3550.0,1847.0,2068.0,15019.0,14103.0,916.0
19045,9523.0,4817.0,3569.0,3002.0,6521.0,6065.0,456.0
20913,12797.0,4778.0,2853.0,4818.0,7979.0,7830.0,149.0
24854,17282.0,3862.0,3482.0,3488.0,13794.0,13113.0,681.0
1328,906.0,120.0,302.0,82.0,824.0,694.0,130.0
13826,8448.0,2880.0,2308.0,1702.0,6746.0,6696.0,50.0
794,518.0,78.0,188.0,86.0,432.0,432.0,0.0
1060,746.0,68.0,234.0,64.0,682.0,682.0,0.0
7435,4631.0,680.0,1983.0,683.0,3948.0,3829.0,119.0
4697,3037.0,772.0,817.0,389.0,2648.0,2517.0,131.0
17937,4230.0,5659.0,7643.0,1427.0,2803.0,2776.0,27.0
221028,124485.0,50845.0,36982.0,30203.0,94282.0,72546.0,21736.0
6667,3995.0,901.0,1587.0,530.0,3465.0,3431.0,34.0
38675,14288.0,13554.0,7887.0,8709.0,5589.0,5473.0,116.0
16068,10659.0,2455.0,2252.0,5625.0,5034.0,5034.0,0.0
20089,11214.0,4606.0,3638.0,3094.0,8120.0,8021.0,99.0
23286,12465.0,5571.0,4457.0,4351.0,8122.0,8002.0,120.0
9198,1737.0,1873.0,5449.0,177.0,1560.0,1535.0,25.0
12732,5868.0,3633.0,1977.0,2586.0,3282.0,3222.0,60.0
3982,2984.0,224.0,702.0,474.0,2510.0,2358.0,152.0
2504,1686.0,368.0,364.0,90.0,1596.0,1596.0,0.0
22435,7370.0,5814.0,8025.0,5185.0,2185.0,2185.0,0.0
3338,2053.0,328.0,879.0,442.0,1611.0,1611.0,0.0
62578,32255.0,18001.0,8704.0,12115.0,20140.0,17701.0,2439.0
6195,3250.0,1520.0,606.0,1188.0,2062.0,1630.0,432.0
18750,11065.0,4768.0,2235.0,2240.0,8825.0,8195.0,630.0
18185,13788.0,1793.0,2241.0,2772.0,11016.0,10483.0,533.0
8088,4124.0,2352.0,1281.0,2363.0,1761.0,1576.0,185.0
11850,10481.0,491.0,852.0,880.0,9601.0,7319.0,2282.0
13967,11851.0,929.0,1002.0,1438.0,10413.0,9259.0,1154.0
18334,15160.0,1255.0,1562.0,1543.0,13617.0,12870.0,747.0
18960,17207.0,703.0,972.0,800.0,16407.0,9647.0,6760.0
19835,13755.0,2669.0,2805.0,2772.0,10983.0,10933.0,50.0
11928,6440.0,3642.0,1532.0,1165.0,5275.0,5072.0,203.0
22616,15725.0,3597.0,2824.0,4804.0,10921.0,10530.0,391.0
6152,5629.0,93.0,393.0,629.0,5000.0,4549.0,451.0
3702,3177.0,180.0,321.0,96.0,3081.0,2179.0,902.0
15154,8548.0,4240.0,2023.0,1479.0,7069.0,6854.0,215.0
10823,9485.0,954.0,334.0,735.0,8750.0,8364.0,386.0
20918,15156.0,1508.0,3396.0,3688.0,11468.0,11455.0,13.0
22852,14864.0,3640.0,3431.0,4698.0,10166.0,10166.0,0.0
23288,12113.0,5602.0,4534.0,2350.0,9763.0,8295.0,1468.0
16598,14492.0,762.0,1005.0,1994.0,12498.0,9781.0,2717.0
19779,9157.0,4438.0,4961.0,2635.0,6534.0,6341.0,193.0
26956,21394.0,2686.0,2016.0,3829.0,17565.0,16689.0,876.0
17277,12776.0,2385.0,1853.0,2413.0,10363.0,10012.0,351.0
43084,28908.0,7002.0,4908.0,7362.0,21546.0,20090.0,1456.0
13423,9446.0,1940.0,1501.0,2301.0,7145.0,6926.0,219.0
2280,1445.0,220.0,583.0,152.0,1293.0,1293.0,0.0
36918,32039.0,2138.0,2111.0,4969.0,27070.0,21547.0,5523.0
18697,13870.0,2471.0,2032.0,1886.0,11984.0,9960.0,2024.0
14653,12426.0,838.0,1054.0,1283.0,11143.0,10012.0,1131.0
21259,15971.0,1654.0,3339.0,1771.0,14200.0,13590.0,610.0
15397,10852.0,2065.0,1897.0,2038.0,8814.0,8434.0,380.0
1090,844.0,44.0,134.0,44.0,800.0,800.0,0.0
20822,11951.0,5125.0,3276.0,1911.0,10040.0,7435.0,2605.0
22057,15703.0,3973.0,2059.0,2418.0,13285.0,12182.0,1103.0
24870,6171.0,9458.0,8813.0,1986.0,4185.0,4170.0,15.0
16551,11701.0,2352.0,2350.0,868.0,10833.0,9494.0,1339.0
1322,463.0,154.0,675.0,24.0,439.0,439.0,0.0
832,712.0,60.0,60.0,166.0,546.0,522.0,24.0
27546,22371.0,2377.0,2581.0,4498.0,17873.0,15484.0,2389.0
15006,12919.0,1047.0,911.0,653.0,12266.0,10567.0,1699.0
11586,2937.0,4361.0,4107.0,94.0,2843.0,2843.0,0.0
7155,1592.0,4771.0,525.0,1547.0,45.0,45.0,0.0
36761,15635.0,11963.0,7296.0,11731.0,3904.0,3312.0,592.0
30892,20715.0,5645.0,3958.0,5769.0,14956.0,14268.0,688.0
22113,15762.0,3082.0,2825.0,2426.0,13351.0,11062.0,2289.0
9744,2051.0,5429.0,1329.0,2061.0,0.0,0.0,0.0
20434,15545.0,2151.0,1607.0,3052.0,12493.0,10736.0,1757.0
29492,16131.0,7096.0,4660.0,4523.0,11608.0,11391.0,217.0
23386,15294.0,4530.0,2918.0,3725.0,11569.0,10892.0,677.0
247434,144393.0,55015.0,36134.0,36595.0,107833.0,79872.0,27961.0
16984,14651.0,1012.0,1104.0,2154.0,12497.0,11029.0,1468.0
166521,165843.0,170.0,480.0,12.0,165831.0,3024.0,162807.0
102305,46643.0,30366.0,16987.0,23412.0,23401.0,21158.0,2243.0
25520,23466.0,690.0,1161.0,1074.0,22392.0,17276.0,5116.0
4908,2396.0,1521.0,925.0,174.0,2222.0,2222.0,0.0
21092,14872.0,3265.0,2457.0,2940.0,11932.0,11559.0,373.0
25903,17180.0,4384.0,3655.0,2023.0,15157.0,8229.0,6928.0
3140,2388.0,420.0,316.0,76.0,2312.0,2208.0,104.0
68100,29999.0,22488.0,12446.0,11178.0,18826.0,17729.0,1097.0
18858,18650.0,43.0,145.0,0.0,18650.0,1937.0,16713.0
10704,10229.0,216.0,232.0,262.0,9967.0,8249.0,1718.0
21520,13692.0,4162.0,2465.0,2736.0,10956.0,10711.0,245.0
22065,16282.0,2425.0,3172.0,3431.0,12851.0,12801.0,50.0
14793,10297.0,2170.0,1862.0,1857.0,8440.0,8035.0,405.0
23559,19360.0,1734.0,2222.0,1964.0,17396.0,13975.0,3421.0
29521,25024.0,2477.0,1281.0,1702.0,23322.0,14687.0,8635.0
23882,17386.0,3462.0,2457.0,2257.0,15129.0,13723.0,1406.0
23653,17698.0,2268.0,3229.0,4109.0,13589.0,12562.0,1027.0
80467,39066.0,19515.0,16501.0,18595.0,20476.0,19154.0,1322.0
23450,15005.0,3337.0,3460.0,3081.0,11924.0,11136.0,788.0
25425,9970.0,10523.0,3638.0,7188.0,2802.0,2667.0,135.0
137833,90118.0,26234.0,14002.0,13692.0,76431.0,70496.0,5935.0
6021,4822.0,545.0,601.0,837.0,3985.0,3866.0,119.0
5336,3708.0,738.0,868.0,296.0,3412.0,2762.0,650.0
13461,10965.0,1095.0,1302.0,1215.0,9750.0,7428.0,2322.0
18865,12214.0,3463.0,2709.0,3692.0,8522.0,8199.0,323.0
15903,9032.0,3834.0,2037.0,3902.0,5130.0,4735.0,395.0
21849,19813.0,896.0,879.0,2349.0,17464.0,14380.0,3084.0
26852,19300.0,3655.0,3452.0,3649.0,15651.0,14924.0,727.0
19254,15151.0,2176.0,1676.0,4484.0,10667.0,10365.0,302.0
6851,5796.0,394.0,646.0,279.0,5517.0,3787.0,1730.0
7458,3329.0,2852.0,887.0,15.0,3314.0,3314.0,0.0
17824,12363.0,2832.0,1948.0,2776.0,9587.0,9126.0,461.0
18349,12109.0,3849.0,1960.0,2257.0,9852.0,9441.0,411.0
10891,4598.0,2887.0,2611.0,2335.0,2263.0,2263.0,0.0
7719,6652.0,597.0,159.0,536.0,6116.0,4316.0,1800.0
19210,14172.0,2822.0,1849.0,2627.0,11545.0,11106.0,439.0
12560,6170.0,3467.0,2563.0,461.0,5709.0,5584.0,125.0
8767,2733.0,2937.0,2945.0,596.0,2137.0,2125.0,12.0
6537,5005.0,521.0,889.0,839.0,4166.0,4062.0,104.0
9265,7054.0,978.0,1133.0,150.0,6904.0,6784.0,120.0
